id,cd_orgao,nr_licitacao,ano_licitacao,vl_licitacao,indicador1,indicador2
3,84100,1,2016,7000.00,0.917143,1
4,78500,1,2016,300000.00,1.00001,1
5,86800,6,2016,44000.00,1,0
6,79100,3,2016,18000.00,1,0
7,56700,8,2016,46920.00,0.408696,0
8,60100,2,2016,37516.60,0.93292,1
9,49201,4,2016,9887.78,0.932464,0
10,63900,2,2016,10000.00,1,0
11,86800,2,2016,342000.00,1,0
12,79100,1,2016,350000.00,0.99944,1
13,86800,4,2016,14875.92,0.855073,0
14,86800,3,2016,59887.33,0.630016,0
15,84100,21,2016,6600.00,0.968333,1
16,62501,3,2016,14983.93,0.900899,0
17,84100,12,2016,17340.00,0.00294118,0
18,84100,13,2016,3200.00,0.559375,1
19,58400,1,2016,603070.66,0.959789,1
20,69600,1,2016,244694.00,0.878648,0
21,47701,1,2016,51085.00,0.937653,0
22,77200,2,2016,4200.00,0.833333,0
23,77200,3,2016,7970.00,0.940903,0
25,45003,1,2016,583641.52,0.93,1
26,45003,1,2016,107345.80,0.997,1
27,51900,3,2016,276000.00,0.995652,0
28,77200,10,2016,10000.00,0.95,0
29,82700,170,2016,4068.05,1,0
30,63900,5,2016,45000.00,0.377778,0
31,88159,5,2016,72000.00,0.916667,0
32,84100,2,2016,125.00,0.6792,0
33,86800,5,2016,21000.00,0.93,0
34,62501,2,2016,5379.82,0.995015,0
35,51900,4,2016,26400.00,0.954545,0
36,77200,1,2016,65665.99,0.876572,0
37,84100,33,2016,8000.00,0.999875,1
38,54912,115,2016,110457.48,1.01724,0
39,54901,14,2016,50088.50,0.688781,0
40,80600,2,2016,267289.24,0.999803,1
41,71500,1,2016,53000.00,1,0
42,56700,18,2016,82668.03,0.758213,0
43,75000,3,2016,127222.85,0.99907,1
44,54901,4,2016,36633.86,0.585524,0
45,45003,2,2016,4279801.71,0.759078,0
46,47500,9,2016,152992.00,0.697684,1
47,84100,36,2016,4320.00,1.00694,0
48,53100,1,2016,194040.77,0.834,0
49,62601,1,2016,26.90,1.24944,0
50,57700,1,2016,17077.50,0.866052,0
51,58400,21,2016,10136.63,0.92515,0
52,55501,1,2016,85747.02,0.929906,0
53,62700,4,2016,3973.58,0.72982,0
54,58400,1,2016,2309094.37,0.994089,1
55,57700,12,2016,30351.00,0.823663,0
56,82400,5,2016,11300.00,1.23894,0
57,59400,3,2016,18500.00,0.969676,1
58,65300,14,2016,3000.00,0.993333,0
59,54901,6,2016,172250.00,0.539913,0
60,82400,1,2016,550.00,1.83636,0
61,53411,7,2016,26132.88,0.669654,0
62,53100,2,2016,899414.16,0.998632,1
63,53411,8,2016,31990.00,0.901657,0
64,88048,1,2016,1052297.74,0.991359,0
65,42501,1,2016,33528.00,1,1
66,83400,10,2016,59880.00,1,0
67,62700,13,2016,66446.11,0.885275,0
68,65300,13,2016,12000.00,1,0
69,52400,13,2016,13071.34,0.983832,1
70,64100,10,2016,122742.00,0.813577,0
71,45001,7,2016,6750.00,0.740738,0
72,81500,7,2016,7200.00,0.916667,0
73,64100,6,2016,32820.00,0.998172,0
74,56801,5,2016,44969.78,0.7783,0
75,65300,1,2016,318243.54,0.987815,0
76,76600,1,2016,2052015.00,0.969925,0
77,53411,6,2016,3953.50,1,0
78,59400,13,2016,230000.00,0.912609,0
79,88024,2,2016,259345.22,0.968361,0
80,54901,7,2016,431190.00,0.834779,0
